c5.large/spring,c5.large/static,c5.large/linkerd,c5.large/zuul,c4.large/spring,c4.large/static,c4.large/linkerd,c4.large/zuul,local/spring,local/static,local/linkerd,local/zuul,c5.2xlarge/spring,c5.2xlarge/static,c5.2xlarge/linkerd,c5.2xlarge/zuul,c5.2xlarge-old/spring,c5.2xlarge-old/static,c5.2xlarge-old/linkerd,c5.2xlarge-old/zuul,t2.micro/spring,t2.micro/static,t2.micro/linkerd,t2.micro/zuul,c5.xlarge/spring,c5.xlarge/static,c5.xlarge/linkerd,c5.xlarge/zuul
5076.15,4569.13,4395.84,1855.70,3140.09,10105.62,3339.32,1101.17,6765.27,18886.91,8242.70,4326.09,5920.74,6094.67,6003.83,1912.53,14785.31,8497.32,9999.95,10328.76,1429.82,18081.60,1632.64,498.93,6024.38,5494.33,5564.77,1911.69
6189.79,4569.13,6265.89,2820.28,6333.28,10105.62,5501.25,2133.22,8898.05,18886.91,10517.41,6206.92,5740.40,6094.67,6149.41,4415.06,10523.32,8497.32,10662.97,13641.51,2260.59,18081.60,2122.27,690.66,5944.69,5494.33,6069.43,2792.34
6103.61,4569.13,6220.41,4857.39,6596.26,10105.62,6305.75,2874.69,9588.27,18886.91,9958.72,6560.39,5274.36,6094.67,6144.06,2494.71,9282.36,8497.32,9234.55,10341.88,3095.24,18081.60,2976.03,852.39,5907.57,5494.33,5820.56,3672.98
5471.93,4569.13,5580.33,3722.25,5949.88,10105.62,6343.68,3026.06,11097.88,18886.91,9596.69,6353.69,6002.43,6094.67,5974.59,2164.96,9314.14,8497.32,9423.02,8794.50,3181.24,18081.60,3261.69,1172.84,5375.82,5494.33,5342.92,3778.06
6071.17,4569.13,4799.19,3068.54,5769.95,10105.62,6275.40,3124.82,9161.71,18886.91,9249.86,5587.75,14608.99,6094.67,5846.92,2183.73,5808.51,8497.32,8875.37,11155.45,3213.85,18081.60,3348.86,1221.32,5800.15,5494.33,5371.06,2665.94
5459.86,4569.13,3866.41,3463.39,6563.42,10105.62,5696.12,3231.92,8040.01,18886.91,8616.46,5316.02,6143.63,6094.67,4762.41,5436.41,9196.03,8497.32,9081.01,7565.71,3243.90,18081.60,3357.71,1112.02,6527.62,5494.33,3116.61,4210.84
6197.04,4569.13,4031.63,4719.93,4508.25,10105.62,5081.03,2799.74,8066.28,18886.91,10187.52,6041.99,6184.67,6094.67,6257.76,4721.85,8132.28,8497.32,6201.44,5901.73,3177.61,18081.60,3323.00,1211.82,5961.83,5494.33,3163.60,3932.01
6052.87,4569.13,2698.96,3212.82,6656.56,10105.62,5156.04,3847.77,9441.21,18886.91,8828.40,6324.25,5846.35,6094.67,6135.45,3949.28,7617.30,8497.32,6020.41,7053.53,3226.99,18081.60,3372.09,1178.10,5870.59,5494.33,2842.45,3857.96
6061.16,4569.13,2137.88,4028.57,6651.13,10105.62,6226.92,3941.19,9771.39,18886.91,8832.72,6140.60,5971.16,6094.67,5685.90,2380.94,9418.73,8497.32,7261.98,6659.15,3190.95,18081.60,3348.44,1194.99,5785.31,5494.33,1554.83,3533.60
5645.88,4569.13,2003.50,3277.51,6620.21,10105.62,6399.97,4726.02,9771.39,18886.91,8832.72,6140.60,5857.54,6094.67,4948.49,3640.05,9265.10,8497.32,9267.99,5600.11,3190.95,18081.60,3348.44,1194.99,5633.42,5494.33,3911.49,8600.33
